Title, Azure Service, Risk, ID, Description, Rationale, Audit Goal, Audit Console, Audit Cli, Remediation Console, Remediation Cli, Link
Remove Custom Owner Roles,Access Control,Medium (should be achieved),AccessControl-001,Ensure that there are no custom subscription owner roles available in your Azure account in order to adhere to cloud security best practices and implement the principle of least privilege - the practice of providing every user the minimal amount of access required to perform its tasks.,Typical Azure subscription administrator roles offer basic access management. A custom subscription owner role has full administrative access as its assignable scope is the entire subscription and it can perform any action (i.e. "*"). As security best practice it is strongly recommended that the least necessary permissions are given initially. Permissions can be added later as needed by the account holder. This ensures that the Azure account holder cannot perform actions which were not intended.,To determine if there are any custom owner roles available in your Microsoft Azure account perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Subscriptions blade at https://portal.azure.com/#blade/Microsoft_Azure_Billing/SubscriptionsBlade.			03				Click on the Azure cloud subscription that you want to examine.			04				In the navigation panel choose Access control (IAM) and select the Roles tab to access the role definitions available for the selected subscription.			05				Select CustomRole option from the Type dropdown list to return all custom roles available.			06				Click on the custom definition role that you want to examine and select the Permissions tab to view all the permissions associated with the selected role. If the role can perform all actions i.e. it can manage everything in the permissions list the selected Azure role definition represents a custom subscription owner role.			07				Repeat steps no. 6 for other custom roles that you want to examine available in the current Azure subscription.			08				Repeat step no. 3 â 7 for each available Microsoft Azure cloud subscription.			,01				Run role definition list command (Windows/macOS/Linux) using built-in and custom query filters to list the names of all custom role definitions (i.e. roles) created for the current Azure subscription:az role definition list	--custom-role-only true	--query '[].{roleName:roleName}'	--output table02				The command output should return a table that contains the names of all the custom roles available:RoleName-----------------------Azure ManagerAPI Service ContributorCloud Data Reader03				Run role definition list command (OSX/Linux/UNIX) using the name of the custom role that you want to examine as identifier parameter value to describe the selected role metadata:az role definition list	--name Azure Manager04				The command output should return an array with the requested information (i.e. role metadata):[  {    "assignableScopes": [      "/subscriptions/abcdabcd-1234-1234-1234-abcdabcdabcd"    ]    "description": "Manages Azure Cloud Account Resources."    "id": "/subscriptions/abcdabcd-1234-1234-1234-abcdabcdabcd/providers/Microsoft.Authorization/roleDefinitions/abcdabcd-abcd-abcd-abcd-abcdabcdabcd"    "name": "abcdabcd-abcd-abcd-abcd-abcdabcdabcd"    "permissions": [      {        "actions": [          "*"        ]        "dataActions": [          "Microsoft.Storage/storageAccounts/blobServices/containers/blobs/*"        ]        "notActions": []        "notDataActions": [          "Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write"        ]      }    ]    "roleName": "Azure Manager"    "roleType": "CustomRole"    "type": "Microsoft.Authorization/roleDefinitions"  }]			If the assignableScopes attribute value is set to "/" or "/subscriptions/<azure-subscription-id>" and the actions value is set to "*" (i.e. everything) as shown in the output example above the selected Microsoft Azure role definition represents a custom owner role.			05				Repeat step no. 3 and 4 for each Azure custom role definition that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Subscriptions blade at https://portal.azure.com/#blade/Microsoft_Azure_Billing/SubscriptionsBlade.			03				Click on the Azure cloud subscription that you want to examine.			04				In the navigation panel choose Access control (IAM) and select the Roles tab to access the role definitions available for the selected subscription.			05				Select CustomRole option from the Type dropdown list to return all custom roles available.			06				Select the custom subscription owner role that you want to delete (see Audit section part I to identify the right role) and click the Remove button from the blade top menu to initiate the removal process.			07				On Remove role definitions confirmation panel click Yes to remove the selected role definition. From now on the deleted role can no longer be assigned as part of a role assignment.			08				If required repeat step no. 6 and 7 to remove other custom owner roles available in the current Azure subscription.			09				Repeat step no. 3 â 8 for each Microsoft Azure cloud subscription available.			,01				Run role definition delete command (Windows/macOS/Linux) using the name of the custom owner role that you want to delete as identifier parameter value (see Audit section part II to identify the right role) to remove the selected role definition from your Microsoft Azure account. The deleted role can no longer be assigned as part of a role assignment (the role definition delete command request does not produce an output):az role definition delete	--name Azure Manager02				Repeat step no. 1 for each Azure custom owner role definition that you want to delete.			,https://www.cloudconformity.com/knowledge-base/azure/AccessControl/remove-custom-owner-roles.html
Allow Only Administrators to Create Security Groups,Active Directory,High (not acceptable risk),ActiveDirectory-017,Ensure that "Users can create security groups in Azure portals" is set to "No" within your Azure Active Directory settings in order to make sure that non-privileged users are not able to create security groups via the Access Panel and the Azure administration portal.,Security groups are used to manage member and machine access to Azure shared resources for a group of users. When "Users can create security groups in Azure portals" feature is enabled all users in your Active Directory account are allowed to create new security groups and add members to those groups. Unless your business requires permission delegation security group creation should be restricted to AD administrators only.,To determine if non-privileged users have the ability to create security groups in Azure portals perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Security Groups check Users can create security groups in Azure portals setting configuration. If the verified setting is set to Yes any Active Directory users including those without administrative privileges can create security groups using the Access Panel and Azure administration portal therefore the current Azure AD user group configuration is not compliant.			06				Repeat steps no. 3 â 5 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settingssection select General to access Active Directory user group general settings.			05				On the General settings page under Security Groups select No next to Users can create security groups in Azure portals configuration setting to disable non-privileged users' ability to create security groups using Azure portals.			06				Click Save to apply the changes. If the request is successful the following message should be displayed: "Successfully updated group settings". Once the configuration changes are active only the Active Directory users with an administrator role can create security groups using the Access Panel and the Azure administration portal.			07				Repeat steps no. 3 â 6 for each Active Directory (AD) that you want to reconfigure in order to restrict security groups creation to AD administrators only.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/users-can-create-security-groups.html
Allow Only Administrators to Manage Office 365 Groups,Active Directory,High (should be achieved),ActiveDirectory-020,Ensure that "Owners who can assign members as group owners in Azure portals" policy is set to "None" within your Azure Active Directory settings in order to make sure that non-privileged users are not able to manage Office 365 groups via the Access Panel and the Azure Admin portal. By default all owners can assign other members as group owners in Azure Active Directory.,Depending on your business requirements you can use Azure Active Directory settings to achieve more granular access control over self-service group management for your users. Restricting Office 365 group management to Active Directory administrators only prohibits users from making any changes to this type of groups. This ensures that Office 365 groups management is not delegated to unauthorized users.,To determine if non-administrator users have the ability to manage Office 365 groups in Azure portals perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Office 365 Groups check Owners who can assign members as group owners in Azure portals setting configuration. If Owners who can assign members as group owners in Azure portals is set to All or Selected (i.e. the list of users selected to manage Office 365 groups) there are Active Directory users including users without administrative privileges that can manage Office 365 groups using the Access Panel and the Azure Admin portal.			06				Repeat steps no. 3 â 5 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Office 365 Groups select None next to Owners who can assign members as group owners in Azure portals configuration setting to disable the non-privileged users' ability to manage Office 365 groups using Azure portals.			06				Click Save to apply the changes. If successful the following message should be displayed: "Successfully updated group settings". Once the configuration changes are saved only the Active Directory administrators can manage Microsoft Office 365 groups using the Access Panel and the Azure Admin portal.			07				Repeat steps no. 3 â 6 for each Active Directory (AD) that you want to reconfigure in order to restrict Office 365 groups management to AD administrators only.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/users-can-manage-office-365-groups.html
Allow Only Administrators to Manage Security Groups,Active Directory,High (not acceptable risk),ActiveDirectory-018,Ensure that "Owners who can assign members as group owners in Azure portals" is set to "None" in your Azure Active Directory settings in order to make sure that non-privileged users are not able to manage security groups via the Access Panel and the Azure Admin portal.,Restricting security group management to Active Directory administrators only prohibits users from making changes to security groups. This ensures that security groups are managed solely by designated authorized users within your Azure Active Directory account.,To determine if non-admin users have the ability to manage security groups in Azure portals perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Security Groups check Owners who can assign members as group owners in Azure portals setting configuration. If Owners who can assign members as group owners in Azure portals is set to All or Selected (i.e. the list of users selected to manage security groups) there are Active Directory users including users without administrative privileges that can manage security groups using the Access Panel and the Azure Admin portal.			06				Repeat steps no. 3 â 5 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settingssection select General to access Active Directory user group general settings.			05				On the General settings page under Security Groups select None next to Owners who can assign members as group owners in Azure portals configuration setting to disable the non-privileged users' ability to manage security groups using Azure portals.			06				Click Save to apply the changes. If successful the following message should be displayed: "Successfully updated group settings". Once the configuration changes are saved only the Active Directory users with an administrator role can manage security groups using the Access Panel and the Azure Admin portal.			07				Repeat steps no. 3 â 6 for each Active Directory (AD) that you want to reconfigure in order to restrict security groups management to AD administrators only.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/users-who-can-manage-security-groups.html
Check for Active Directory Guest Users,Active Directory,Medium (should be achieved),ActiveDirectory-003,For a Microsoft Azure business-to-business (B2B) collaboration each Active Directory (AD) guest user needs to be associated with a business owner or business process. When there is no need for B2B collaboration ensure that there are no AD guest users available within your Microsoft Azure account.,An Active Directory business-to-business (B2B) collaboration is used to securely share your applications and services with guest users and external partners from other organizations while maintaining full control over your own data. Azure AD is configured to handle B2B collaborations allowing you to invite people from outside your organization to be guest users within your Azure cloud account. Unless you have a real business need that requires to provide guest access to external users avoid creating such guest users. Active Directory guest users are usually added outside the employee onboarding/offboarding process managed by your company and this can eventually lead to potential security vulnerabilities.,To determine if there are any Active Directory guest users available in your Azure account perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at Azure Portal.			03				In the navigation panel select Users to list all Active Directory users.			04				Select Guest users only from Show dropdown menu to return the guest users available (if any). If one or more users are listed there are Active Directory guest users created within your Azure account thus your Active Directory user configuration is not compliant.			05				Repeat step no. 3 and 4 for each Active Directory (AD) available in your Microsoft Azure cloud account.			,01				Run ad user list command (Windows/macOS/Linux) using query filters to list all Azure Active Directory (AD) guest users:az ad user list   --query "[?userType=='Guest']"02				The command output should return the configuration metadata for each Active Directory guest user currently available in your Azure account (if any):[  {    "accountEnabled": true    "createdDateTime": "2019-05-01T10:47:42Z"    "creationType": "Invitation"    "employeeId": null    "jobTitle": null    "lastDirSyncTime": null    "legalAgeGroupClassification": null    "mail": "adproject@cloudconformity.com"    "mobile": null    "objectId": "abcdabcd-1234-1234-1234-abcd1234abcd"    "objectType": "User"    "odata.type": "Microsoft.DirectoryServices.User"    "onPremisesDistinguishedName": null    "onPremisesSecurityIdentifier": null    ...    "refreshTokensValidFromDateTime": "2019-05-02T10:41:42Z"    "showInAddressList": false    "signInNames": []    "sipProxyAddress": null    "state": null    "streetAddress": null    "surname": null    "telephoneNumber": null    "thumbnailPhoto@odata.mediaEditLink": "directoryObjects/abcdabcd-1234-1234-1234-abcd1234abcd/Microsoft.DirectoryServices.User/thumbnailPhoto"    "usageLocation": null    "userIdentities": []    "userPrincipalName": "adproject@cloudconformity.com#EXT#@azuremanager@cloudconformity.onmicrosoft.com"    "userStateChangedOn": "2019-05-02T10:41:42Z"    "userType": "Guest"  }]			If ad user list command output returns configuration metadata for one or more users as shown in the example above there are Active Directory guest users available in your Azure account therefore your Active Directory user configuration is not compliant.			03				Repeat step no. 1 and 2 for each Active Directory (AD) available in your Microsoft Azure cloud account.			,01				Execute the following Microsoft Graph API call to list all Azure Active Directory external/guest users within your AD tenant:GET https://graph.microsoft.com/beta/users?$filter=userType eq "Guest"02				The command output should return the existing metadata for each Active Directory guest user currently available in your Azure AD account:[  {    "accountEnabled": true    "creationType": "Invitation"    "employeeId": null    "lastDirSyncTime": null    "legalAgeGroupClassification": null    "mail": "adproject@cloudconformity.com"    "objectId": "abcdabcd-1234-1234-1234-abcd1234abcd"    "objectType": "User"    "odata.type": "Microsoft.DirectoryServices.User"    "onPremisesDistinguishedName": null    "onPremisesSecurityIdentifier": null    ...    "showInAddressList": false    "sipProxyAddress": null    "state": null    "streetAddress": null    "surname": null    "telephoneNumber": null    "usageLocation": null    "userIdentities": []    "userPrincipalName": "adproject@cloudconformity.com#EXT#@azuremanager@cloudconformity.onmicrosoft.com"    "userType": "Guest"  }]			If the Graph API call output returns configuration metadata for one or more users as shown in the example above there are Active Directory guest users available in your Azure AD account therefore your Active Directory user configuration is not compliant.			03				Repeat step no. 1 and 2 for each Active Directory (AD) available in your Microsoft Azure cloud account.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at Azure Portal.			03				In the navigation panel select Users to display all Active Directory users.			04				Select Guest users only from Show dropdown menu to list the guest users available.			05				Select the Azure Active Directory guest user(s) that you want to remove (see Audit section part I to identify the appropriate user(s)).			06				Click on the Delete user button from the dashboard top menu to initiate the removal process.			07				Within Delete selected users confirmation box choose Yes to delete the selected AD guest user(s).			08				If necessary repeat steps no. 3 â 7 for each Active Directory (AD) provisioned in your Microsoft Azure cloud account.			,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/check-for-guest-users.html
Disable Remembering Multi-Factor Authentication,Active Directory,High (should be achieved),ActiveDirectory-004,Ensure that "Allow users to remember multi-factor authentication on devices they trust" feature is disabled within your Microsoft Azure account in order to make sure that your users are not allowed to bypass MFA. Multi-Factor Authentication is an efï¬cient method of verifying your Azure user identity by requiring an authentication code generated by a virtual or hardware device in addition to your usual access credentials.,Remembering Multi-Factor Authentication (MFA) for devices and browsers allows Microsoft Azure users to have the option to bypass MFA for a certain number of days after performing a successful sign-in using an MFA passcode. Remembering MFA can enhance usability by minimizing the number of times a user may need to perform two-step verification on the same device however if an account or device is compromised remembering Multi-Factor Authentication for trusted devices and browsers can lead to security breaches. When "Allow users to remember multi-factor authentication on devices they trust" feature is disabled for every login attempt the users will be required to perform Multi-Factor Authentication.,To determine "Allow users to remember multi-factor authentication on devices they trust" feature status perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users.			04				Click on the Multi-Factor Authentication button from the AD blade top menu.			05				On the Multi-Factor Authentication management page click service settings to access the MFA configuration settings.			06				On the service settings page under remember multi-factor authentication check the Allow users to remember multi-factor authentication on devices they trust configuration setting. If Allow users to remember multi-factor authentication on devices they trust feature is enabled i.e. the checkbox is selected the AD users can bypass Multi-Factor Authentication (MFA) after a successful sign-in therefore the MFA configuration is not compliant.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users.			04				Click on the Multi-Factor Authentication button from the AD service blade top menu.			05				On the Multi-Factor Authentication management page click service settings to access the MFA configuration settings.			06				On the service settings page under remember multi-factor authentication uncheck Allow users to remember multi-factor authentication on devices they trust checkbox to disable remembering Multi-Factor Authentication (MFA) after a successful sign-in. Disabling this feature means that all users will be required to sign in using MFA on each login attempt even if the request is performed from a previously-remembered device or browser. Click Save to apply the configuration changes and Close to return to the Multi-Factor Authentication service settings page.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/multi-factor-authentication-on-devices.html
Disable Self-Service Group Management,Active Directory,High (should be achieved),ActiveDirectory-016,Ensure that non-administrator users do not have the ability to create and manage security groups and Office 365 groups within your Azure Active Directory. Once self-service group management is disabled for non-admin users these can't change their groups configuration anymore and can't manage their memberships by approving requests from other users to join their existing groups.,Self-service group management enables users to create and manage security groups or Office 365 groups in Azure Active Directory (AD). Self-service group management can also group owners to assign ownership to other users. Since these groups can grant access to sensitive and private information or Azure AD critical configuration self-service group management feature should be disabled for all non-administrator users.,To determine if self-service group management is disabled within your Active Directory group settings perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Self Service Group Management check the configuration for both Owners can manage group membership requests in the Access Panel and Restrict access to Groups in the Access Panel settings. If both these settings are set to Yes the self-service group management feature is enabled for all Active Directory users (including non-administrator users) therefore the current Azure AD user group configuration is not compliant.			06				Repeat steps no. 3 â 5 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Self Service Group Management select No next to both Owners can manage group membership requests in the Access Panel and Restrict access to Groups in the Access Panel settings to disable self-service group management feature for Active Directory non-administrator users.			06				Click Save to apply the changes. If the request is successful the following message should be displayed: "Successfully updated group settings". Once the configuration changes are active only the Active Directory users with an administrator role can access the user group features available on the Access Panel for creating and managing (including handling membership) security groups and Office 365 groups in the current directory.			07				Repeat steps no. 3 â 6 for each Active Directory (AD) that you want to reconfigure in order to disable self-service group management for non-administrator users.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/self-service-group-management-enabled.html
Enable All Users Group,Active Directory,Medium (should be achieved),ActiveDirectory-021,Ensure that "Enable an 'All Users' group in the directory" policy is set to "Yes" in your Azure Active Directory (AD) settings in order to enable the "All Users" group for centralized access administration. This group represents the entire collection of the Active Directory users including guests and external users that you can use to make the access permissions easier to manage within your directory.,The "All Users" group can be used to assign the same permissions to all the users within an Azure Active Directory account. For example all users in a directory can be given access to a SaaS application by assigning a specific set of permissions that allows application access to the "All Users" dedicated group. This ensures that there is a common policy created for all the existing and future users and there is no need to implement individual access permissions.,To determine if "All Users" group is enabled for centralized administration in your Azure AD directory perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Directory-wide Groups check Enable an "All Users" group in the directory feature configuration. If Enable an "All Users" group in the directory is set to No the "All Users" dedicated group necessary for centralized administration in not enabled in your current Active Directory account.			06				Repeat steps no. 3 â 5 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Groups.			04				In the Settings section select General to access Active Directory user group general settings.			05				On the General settings page under Directory-wide Groups select Yes next to Enable an "All Users" group in the directory configuration setting to enable the dedicated "All Users" group that combines all users available in your directory including guests and external users.			06				Click Save to apply the changes. If successful the following message should be displayed: "Successfully updated group settings". Once the configuration changes are saved the specialized "All Users" group can be used for centralized access administration in your current Active Directory account.			07				Repeat steps no. 3 â 6 for each Active Directory (AD) that you want to reconfigure in order to enable the dedicated "All Users" group.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/enable-all-users-group.html
Enable Authentication Reconfirmation,Active Directory,Medium (should be achieved),ActiveDirectory-006,Ensure that the number of days before Microsoft Azure Active Directory (AD) users are asked to re-confirm their authentication information is not set to 0 (zero) in order to enforce them to reconfirm their authentication details regularly.,The "Number of days before users are asked to re-confirm their authentication information" represents the period of time up to a maximum of 730 days before AD registered users are prompted to reconfirm their existing authentication details to make sure that these are still valid. If authentication reconfirmation is disabled i.e. set to zero days the Active Directory users will never be prompted to reconfirm their existing authentication information. If one or more authentication details set for an AD user changes the password reset information for that user reverts to the previously registered authentication information.,To determine the number of days before users are asked to reconfirm their authentication details perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users.			04				Under All users select Password reset to access the password reset configuration settings available for Active Directory users.			05				In the blade navigation panel select Registration.			06				On the Registration configuration page check the value (integer) set for the Number of days before users are asked to re-confirm their authentication information setting. If the verified configuration value is 0 the authentication information reconfirmation for Active Directory users is not enabled within the AD password reset policy.			07				Repeat steps no. 3 â 6 for each Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users to access the panel with the AD users.			04				Under All users select Password reset to access the password reset configuration settings available for Active Directory users.			05				In the blade navigation panel select Registration.			06				On the Registration settings page enter the period of time (up to 730 days) before your AD registered users are prompted to reconfirm their existing authentication in the Number of days before users are asked to re-confirm their authentication information box.			07				Click Save to apply the configuration changes. Once the changes are saved the following message should be displayed: "Password reset policy saved. Changes to password reset policy were saved successfully".			08				Click Save to apply the configuration changes. If successful the following confirmation message should be displayed: "Password reset policy saved. Changes to password reset policy were saved successfully".			09				Repeat steps no. 3 â 7 for each Microsoft Azure Active Directory that you want to reconfigure in order to enable user authentication information reconfirmation.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/number-of-days-before-authentication-information-re-confirmation.html
Enable Dual Identification for Password Reset,Active Directory,Medium (should be achieved),ActiveDirectory-005,Ensure that two alternate forms of user identification are provided before allowing a password reset for your Microsoft Azure Active Directory (AD). A user password can be successfully reset when at least the number of methods required for the password reset configured in Azure Active Directory settings is provided.,Enabling dual identification before allowing a password reset in your Azure Active Directory account enhances access security by ensuring that the user identity is confirmed by two separate forms of identification such as email and SMS. When the number of methods required to reset a user password is set to 2 (two) an attacker would need to compromise both the identity forms configured before he or she could maliciously reset an Azure AD user password.,To determine if at least two methods of identification are configured for Azure AD user password reset perform the following actions:,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users.			04				Under All users select Password reset to access the password reset configuration settings available for Active Directory users.			05				In the navigation panel select Authentication methods.			06				On the Authentication methods settings page check the Number of methods required to reset configuration value. If this value is not set to 2 the number of methods required for user password reset is not compliant therefore dual identification for password reset is not enabled for your Microsoft Azure Active Directory users.			07				Repeat steps no. 3 â 6 for each Microsoft Azure Active Directory that you want to examine.			,01				Sign in to Azure Management Console.			02				Navigate to Azure Active Directory (AD) blade at https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/Overview.			03				In the navigation panel select Users.			04				Under All users select Password reset to access the password reset configuration settings available for Active Directory users.			05				In the blade navigation panel select Authentication methods.			06				On the Authentication methods configuration page select 2 for Number of methods required to reset setting to enable users to choose at least two methods of identification required for password reset.			07				For Methods available to users select at least two identification methods (e.g. Email and Mobile phone (SMS only)) as alternate methods of user identification necessary during password reset.			08				Click Save to apply the configuration changes. If successful the following confirmation message should be displayed: "Password reset policy saved. Changes to password reset policy were saved successfully".			09				Repeat steps no. 3 â 8 for each Microsoft Azure Active Directory that you want to reconfigure in order to enable dual identification for user password reset.			,,,https://www.cloudconformity.com/knowledge-base/azure/ActiveDirectory/number-of-methods-required-to-reset-password.html
